id,highway,name,oneway,lit,lanes,maxspeed,railway,boundary,access,natural,barrier,tunnel,bridge,incline,waterway,busway,toll
10741757,residential,Σολωμού,yes,,,,,,,,,,,,,,
10741758,tertiary,Μενάνδρου,-1,,,,,,,,,,,,,,
10741759,residential,Κουμουνδούρου,yes,,,,,,,,,,,,,,
10741760,secondary,Μάγερ,yes,,,,,,,,,,,,,,
10741762,pedestrian,Μαιζώνος,,,,,,,,,,,,,,,
10741763,residential,Μακεδονίας,yes,,,,,,,,,,,,,,
10742179,,,,,,,rail,,,,,,,,,,
10742180,,,,,,,rail,,,,,,,,,,
10742774,,,,,,,rail,,,,,,,,,,
10743224,,,,,,,disused,,,,,,,,,,
10743225,,,,,,,disused,,,,,,,,,,
10971761,residential,Μπουμπουλίνας,yes,,,,,,,,,,,,,,
10971763,secondary,Ιουλιανού,yes,,,,,,,,,,,,,,
10971764,residential,Μπόταση,yes,,,,,,,,,,,,,,
10971765,residential,Τζωρτζ,yes,,,,,,,,,,,,,,
10971766,secondary,Καποδιστρίου,yes,,,,,,,,,,,,,,
10971767,residential,Κάνιγγος,yes,,,,,,,,,,,,,,
10971769,residential,Τοσίτσα,,,,,,,,,,,,,,,
10971776,residential,Νοταρά,yes,,,,,,,,,,,,,,
10971781,steps,Κουντουριώτου,,,,,,,,,,,,,,,
10971782,residential,Σπύρου Τρικούπη,yes,,,,,,,,,,,,,,
10972181,residential,Οκτάβιου Μερλιέ,yes,,,,,,,,,,,,,,
10972183,pedestrian,Τσαμαδού,,,,,,,,,,,,,,,
10972185,residential,Οικονόμου,yes,,,,,,,,,,,,,,
10972561,residential,Μετσόβου,yes,,,,,,,,,,,,,,
10972563,residential,Ρεθύμνου,,,,,,,,,,,,,,,
10972564,residential,Κυβέλης,,,,,,,,,,,,,,,
10972565,residential,Σαριπόλου,,,,,,,,,,,,,,,
10973181,,,,,,,,,,,,,,,,,
10974932,,Γραμμή 1,,,,,subway,,,,,,,,,,
10976007,tertiary,Φιλαδελφείας,yes,,,,,,,,,,,,,,
10976008,residential,Αλκιβιάδου,yes,,,,,,,,,,,,,,
10976009,residential,Σωνιέρου,yes,,,,,,,,,,,,,,
10976012,residential,Βατσαξή,,,,,,,,,,,,,,,
10976420,residential,Ακομινάτου,yes,,,,,,,,,,,,,,
10976421,residential,Κρήτης,yes,,,,,,,,,,,,,,
10976427,service,Σαχίνη,,,,,,,,,,,,,,,
10976428,residential,Αγίου Παύλου,yes,,,,,,,,,,,,,,
10976429,residential,Ιλίου,yes,,,,,,,,,,,,,,
10976430,residential,Θράκης,,,,,,,,,,,,,,,
10976431,residential,Νικομηδείας,,,,,,,,,,,,,,,
10976432,tertiary,,yes,,,,,,,,,,,,,,
10976433,tertiary,Καρόλου,no,,4,,,,,,,,,,,,
10976435,tertiary,Μάρνη,,,4,,,,,,,,,,,,
10976951,residential,Αιόλου,,,,,,,,,,,,,,,
10976954,tertiary,Σοφοκλέους,yes,,,,,,,,,,,,,,
10976958,residential,Γερανίου,yes,,,,,,,,,,,,,,
10976960,tertiary,Σωκράτους,yes,,,,,,,,,,,,,,
10976967,tertiary,Αριστείδου,yes,,,,,,,,,,,,,,
10976970,residential,Λυκούργου,yes,,,,,,,,,,,,,,
10976971,residential,Ικτίνου,yes,,,,,,,,,,,,,,
10976972,residential,Κλεισθένους,,,,,,,,,,,,,,,
11031663,residential,Χίου,yes,,,,,,,,,,,,,,
11031664,residential,Παλαιολόγου Κωνσταντίνου,yes,,,,,,,,,,,,,,
11031665,residential,Μιχαήλ Βόδα,yes,,,,,,,,,,,,,,
11031667,residential,Αλκαμένους,yes,,,,,,,,,,,,,,
11031672,pedestrian,Ακακιου,,,,,,,,,,,,,,,
11031680,secondary,Αχαρνών,no,yes,,,,,,,,,,,,,
11031684,residential,Αλκιβιάδου,yes,,,,,,,,,,,,,,
11031685,residential,Σμύρνης,,,,,,,,,,,,,,,
11033928,,,,,,,rail,,,,,,yes,,,,
11713131,steps,Πουλχερίας,,,,,,,,,,,,,,,
15220170,secondary,Αγ. Αναργύρων,yes,,,,,,,,,,,,,,
15220369,secondary,Καραολή και Δημητρίου,yes,yes,2,40,,,,,,,,,,,
15220432,residential,Κοραή Αδαμάντιου,yes,,,,,,,,,,,,,,
15371919,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,3,,,,,,,,,,,,
15371933,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,4,,,,,,,,yes,,,,
15371938,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,4,,,,,,,,yes,,,,
15372175,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,3,,,,,,,,,,,,
15412852,trunk,Αθηνών,yes,yes,,,,,,,,,yes,,,,
15414502,primary,Μεσογείων,yes,yes,,,,,,,,,,,,,
15469038,primary,Γρηγορίου Λαμπράκη,yes,yes,,,,,,,,,,,,,
15590218,primary,Πέτρου Ράλλη,yes,,,,,,,,,,,,,,
15591226,primary,Πειραιώς,yes,yes,2,,,,,,,,,,,,
15591405,secondary,Αγίου Ιωάννη Ρέντη,yes,,,,,,,,,,,,,,
15591437,residential,Πολυκράτους Σπύρου,yes,,,,,administrative,,,,,,,,,
15591903,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,,,,,,,,,,,,,
15592304,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,,,,,,,,,,,,,
15593349,secondary,Εθνάρχου Μακαρίου,yes,yes,3,50,,,,,,,,,,,
15594006,secondary,,yes,yes,1,,,,,,,,,,,,
15594032,primary_link,,yes,yes,2,60,,,,,,,,,,,
16945477,secondary_link,,yes,,,,,,,,,,,,,,
16945479,secondary,Εθνικής Αντιστάσεως,yes,,,,,,,,,,,,,,
16946833,secondary,Καποδιστρίου,yes,,,50,,,,,,,,,,,
16946836,secondary,Παπανικολή,yes,,,,,,,,,,,,,,
16946837,residential,Άρτης,yes,,,,,,,,,,,,,,
16946841,tertiary,Λαρίσης,yes,,,,,,,,,,,,,,
16946842,residential,Λακωνίας,yes,,,,,,,,,,,,,,
16994325,tertiary,Ιωάννη Δροσοπούλου,,,,,,,,,,,,,,,
16994456,footway,,,,,,,,,,,,,,,,
16994673,service,,,,,,,,,,,,,,,,
20130215,residential,Σινώπης,yes,,,,,,,,,,,,,,
20140573,residential,Αλεξανδρουπόλεως,yes,,,,,,,,,,,,,,
20140660,residential,Αλεξανδρουπόλεως,yes,,,,,,,,,,,,,,
20140853,primary,Μιχαλακοπούλου,yes,yes,,,,,,,,,,,,,
20141054,primary,Μεσογείων,yes,yes,,,,,,,,,,,,,
20142627,residential,Ξενίας,yes,,,,,,,,,,,,,,
20142815,service,Αυλίδος,,,,,,,,,,,,,,,
20143083,primary,Βασιλίσσης Σοφίας,yes,yes,3,,,,,,,,,,,,
20143653,secondary_link,Αλεξάνδρας,yes,yes,,,,,,,,,,,,,
20143864,residential,Ιθάκης,yes,,,,,,,,,,,,,,
20143936,residential,Πλατεία Αγίου Γεωργίου,yes,,,,,,,,,,,,,,
20144228,residential,Ιθάκης,yes,,,,,,,,,,,,,,
20144411,residential,Τήνου,yes,,,,,,,,,,,,,,
20144587,unclassified,Κομνα Τρακα,,,,,,,,,,,,,,,
20145038,tertiary,Ιωάννου Δροσοπούλου,yes,,,,,,,,,,,,,,
20146783,residential,Επτανήσου,,,,,,,,,,,,,,,
20146903,pedestrian,Φωκίωνος Νέγρη,,yes,,,,,,,,,,,,,
20146994,pedestrian,Φωκίωνος Νέγρη,,yes,,,,,,,,,,,,,
20147361,residential,Πεστών,yes,,,,,,,,,,,,,,
21275269,residential,Ιλιάδος,yes,,,,,administrative,,,,,,,,,
21568302,tertiary,Πανόρμου,yes,yes,2,50,,,,,,,,,,,
21568724,tertiary,Πανόρμου,yes,,,,,,,,,,,,,,
22561388,residential,Ναούσης,no,,,,,,,,,,,,,,
22561418,tertiary,Αγίου Βασιλείου,yes,,2,,,,,,,,,,,,
22757703,residential,Τατάκη,,,,,,,,,,,,,,,
23180117,secondary,Λάμπρου Κατσώνη,yes,yes,1,50,,,,,,,,,,,
23180324,residential,Αιγέως,,,,,,,,,,,,,,,
23180337,residential,Ευριπίδου,,,,,,,,,,,,,,,
23180344,tertiary,Ταγματάρχου Πλέσσα,yes,,,,,,,,,,,,,,
23180349,tertiary,Δοϊράνης,yes,,,,,,,,,,,,,,
23180503,primary,Ποσειδώνος,yes,yes,4,90,,,,,,,,,,,
23180531,,Γραμμή 1,,,,,rail,,,,,,,,,,
23180582,primary,Πειραιώς,yes,yes,2,,,,,,,,,,,,
23181674,secondary,Ποσειδώνος,yes,yes,2,,,,,,,,,,,,
23181703,residential,Ξενοφώντος,yes,,,,,,,,,,,,,,
23181705,residential,Αριστογείτονος,yes,,,,,,,,,,,,,,
23181711,residential,Καλυψούς,yes,,,,,,,,,,,,,,
23181762,residential,Ευγενίδου,yes,,,,,,,,,,,,,,
23181765,residential,Θυατείρων,yes,,,,,,,,,,,,,,
23181771,residential,Εφέσου,yes,,,,,,,,,,,,,,
23181773,tertiary,Εφέσσου,yes,,,,,,,,,,,,,,
23181782,residential,Γαλαξία,,,,,,,,,,,,,,,
23181786,residential,Λεοντιου,,,,,,,,,,,,,,,
23181790,residential,Διπλα Β.,,,,,,,,,,,,,,,
23181854,footway,,,,,,,,,,,,yes,,,,
23181858,footway,,,,,,,,,,,,yes,,,,
23181870,secondary_link,,yes,,1,50,,,,,,,,,,,
23181902,residential,Σαρανταπόρου,,,,,,,,,,,,,,,
23181904,residential,Υδρας,yes,,,,,,,,,,,,,,
23181914,residential,Ατθίδων,yes,,,,,,,,,,,,,,
23181915,tertiary,Θεσσαλονίκης,yes,,,,,,,,,,,,,,
23181920,pedestrian,Αρδάσσης,no,,,,,,,,,,,,,,
23181935,residential,Ευαγγελίστριας,yes,,,,,,,,,,,,,,
23181936,residential,Γαλάτειας,,,,,,,,,,,,,,,
23181941,residential,Καλυψούς,yes,,,,,,,,,,,,,,
23181950,residential,Διάκου Αθανασίου,yes,,,,,,,,,,,,,,
23181995,tertiary,Αργυρουπόλεως,,yes,4,,,,,,,,,,,,
23182021,tertiary,Αγίων Πάντων,yes,,,,,,,,,,,,,,
23182036,residential,Αριστείδου,yes,,,,,,,,,,,,,,
23182039,residential,Ατθίδων,yes,,,,,,,,,,,,,,
23182041,residential,Εσπερίδων,yes,,,,,,,,,,,,,,
23182096,residential,Μαντζαγριωτάκη,,,,,,,,,,,,,,,
23182123,residential,Κατακουζηνού,no,,,,,,,,,,,,,,
23182126,residential,Σαρδεων,yes,,,,,,,,,,,,,,
23182132,residential,Περγάμου,yes,,,,,,,,,,,,,,
23182139,residential,Κωνσταντινουπολεως,yes,,,,,,,,,,,,,,
23182186,tertiary,,yes,,,,,,,,,,,,,,
23182191,residential,Αδραμμυττίου,yes,,,,,,,,,,,,,,
23182200,tertiary,Μεγάλου Αλεξάνδρου,yes,,,,,postal_code,,,,,,,,,
23182205,tertiary,Λαμψάκου,no,,,,,,,,,,,,,,
23182210,residential,Ιωσηφόγλου,yes,,,,,,,,,,,,,,
23182218,residential,Μοσχονησίων,yes,,,,,,,,,,,,,,
23182226,residential,Βουτζά,yes,,,,,,,,,,,,,,
23182231,residential,Σεβδικίου,,,,,,,,,,,,,,,
23182254,residential,,yes,,,,,,,,,,,,,,
23182282,residential,Δορυλαίου,yes,,,,,,,,,,,,,,
23182286,residential,Αϊδινίου,yes,,,,,,,,,,,,,,
23182287,residential,Σταμούλη,yes,,,,,,,,,,,,,,
23182290,residential,Βρυουλών,yes,,,,,,,,,,,,,,
23182291,residential,Κοτυαίου,yes,,,,,,,,,,,,,,
23182295,residential,Κρήνης,yes,,,,,,,,,,,,,,
23182297,residential,Ευαγγελικής Σχολής,,,,,,,,,,,,,,,
23182298,residential,Ομηρείου,,,,,,,,,,,,,,,
23182321,residential,Αγίου Ανδρέα,yes,,,,,,,,,,,,,,
23182328,,,,,,,,administrative,,,,,,,,,
23182341,residential,Καΐρη,,,,,,,,,,,,,,,
23182343,residential,Κάδμου Μιλήσιου,,,,,,,,,,,,,,,
23182345,residential,Καΐρη,yes,,,,,,,,,,,,,,
23182381,residential,Επταλόφου,yes,,,,,,,,,,,,,,
23182422,residential,Αγίας Φωτεινής,yes,,,,,,,,,,,,,,
23182424,residential,Παλαιολόγου,yes,,,,,,,,,,,,,,
23182446,residential,Θεόκλητου Β.,,,,,,,,,,,,,,,
23182455,residential,Θεόκλητου Β.,,,,,,,,,,,,,,,
23182464,residential,Μπαλή Γ.,,,,,,,,,,,,,,,
23182469,residential,Δημωνακτος,,,,,,,,,,,,,,,
23182475,pedestrian,Κριναγορου,,,,,,,,,,,,,,,
23182479,residential,Βουρνόβα,yes,,,,,,,,,,,,,,
23182483,residential,Ωκεανίδων,,,,,,,,,,,,,,,
23182489,residential,Διλβόη,yes,,,,,,,,,,,,,,
23182490,residential,Φρειδερίκου Σμιθ,,,,,,,,,,,,,,,
23182495,residential,Χελντραϊχ,,,,,,,,,,,,,,,
23182499,residential,Σαρκουδινου Μ.,yes,,,,,,,,,,,,,,
23182506,residential,Ντελακρουά,,,,,,,,,,,,,,,
23182509,residential,Τσιγάντε Ι.,,,,,,,,,,,,,,,
23182511,residential,Τανταλίδου,yes,,,,,,,,,,,,,,
23182515,tertiary,Εφέσσου,no,,,,,,,,,,,,,,
23182519,tertiary,Εφέσσου,yes,,,,,,,,,,,,,,
23182520,residential,Μυρακτής,yes,,,,,,,,,,,,,,
23182522,residential,Λιγνάδη,no,,,,,,,,,,,,,,
23182526,residential,Αυρηλιανής,yes,,,,,,,,,,,,,,
23182532,pedestrian,Ιωνίας,,,,,,,,,,,,,,,
23182543,residential,,yes,,,,,,,,,,,,,,
23182555,tertiary,,no,,,,,,,,,yes,,,,,
23182556,tertiary,Σπάρτης,yes,,,,,,,,,,,,,,
23182559,secondary,,yes,yes,1,50,,,,,,yes,,,,,
23182560,secondary,,yes,yes,,50,,,,,,yes,,,,,
23182561,secondary,Αμφιθέας,yes,yes,2,50,,,,,,,,,,,
23182581,primary,Λαγουμιτζή,yes,,,,,,,,,yes,,,,,
23182583,primary,Λαγουμιτζή,yes,,,,,,,,,,,,,,
23182586,primary,Λαγουμιτζή,yes,,,,,,,,,yes,,,,,
23182591,primary_link,,yes,,1,30,,,,,,,,,,,
23182600,secondary,Ελευθερίου Βενιζέλου,yes,yes,2,50,,,,,,,yes,,,,
23182620,tertiary,,yes,,,,,,,,,,,,,,
23182626,tertiary,,yes,,,,,,,,,,,,,,
23182627,tertiary,,yes,,,,,,,,,,yes,,,,
23182633,tertiary,Θεσσαλονίκης,yes,,,,,,,,,,,,,,
23182705,residential,Βουλής,yes,,,,,,,,,,,,,,
23182720,residential,Διομείας,,,,,,,,,,,,,,,
23182726,residential,Καραγιώργη Σερβίας,yes,,,,,,,,,,,,,,
23182767,primary,Πλατεία Συντάγματος,yes,yes,6,,,,,,,,,,,,
23182769,residential,Ξενοφώντος,yes,,,,,,,,,,,,,,
23182771,residential,Νίκης,yes,,,,,,,,,,,,,,
23182774,residential,Απόλλωνος,yes,,,,,,,,,,,,,,
23182775,residential,Πεντέλης,,,,,,,,,,,,,,,
23182790,pedestrian,Βουκουρεστίου,,,,,,,,,,,,,,,
23182796,tertiary,Λυκαβηττού,yes,,,,,,,,,,,,,,
23182798,residential,Ομήρου,yes,,,,,,,,,,,,,,
23182806,secondary,Χαλκοκονδύλη,yes,,,,,,,,,,,,,,
23182816,primary,Βασιλίσσης Σοφίας,yes,yes,,,,,,,,,,,,,
23182833,residential,Κριεζώτου,yes,,,,,,,,,,,,,,
23182837,residential,Πινδάρου,yes,,,,,,,,,,,,,,
23182838,residential,Σούτσου Αλ.,yes,,,,,,,,,,,,,,
23182843,residential,Δημοκρίτου,yes,,,,,,,,,,,,,,
23182847,secondary,Σέκερη,yes,,,,,,,,,,,,,,
23182848,tertiary,Κανάρη,yes,,,,,,,,,,,,,,
23182850,residential,Μέρλιν,yes,,,,,,,,,,,,,,
23182962,primary,Σταδίου,yes,yes,,,,,,,,,,,,,
23182965,primary,Ελευθερίου Βενιζέλου,yes,yes,5,,,,,,,,,,,,
23182987,primary,Φιλελλήνων,yes,yes,,,,,,,,,,,,,
23182990,primary,Όθωνος,yes,yes,,,,,,,,,,,,,
23183166,,Μετρό Αθήνας Γραμμή 2,,,,,subway,,,,,yes,,,,,
23183271,residential,Εδουάρδου Λω,yes,,,,,,,,,,,,,,
23183273,tertiary,Ρήγα Φεραίου,yes,,,,,,,,,,,,,,
23183278,tertiary,Ιπποκράτους,yes,,2,,,,,,,,,,,,
23183364,tertiary,Ναυαρίνου,yes,,,,,,,,,,,,,,
23183366,residential,Διδότου,yes,,,,,,,,,,,,,,
23183369,tertiary,Πεσμαζόγλου,yes,,,,,,,,,,,,,,
23183371,tertiary,Χαριλάου Τρικούπη,yes,,,,,,,,,,,,,,
23183380,residential,Σταύρου Γεωργίου,yes,,,,,,,,,,,,,,
23183390,residential,Εμμανουήλ Μπενάκη,yes,,,,,,,,,,,,,,
23183631,,,,,,,,,,,,,,,,,
23183808,tertiary,Αμερικής,yes,,,,,,,,,,,,,,
23183845,residential,Περικλέους,yes,,,,,,,,,,,,,,
23183852,tertiary,Κολοκοτρώνη,yes,yes,,,,,,,,,,,,,
23183910,pedestrian,Θεμιστοκλέους,,,,,,,,,,,,,,,
23183922,residential,Γαμβέτα,yes,,,,,,,,,,,,,,
23183924,pedestrian,Γλαδστώνος,,,,,,,,,,,,,,,
23183929,residential,Μαυροκορδάτου,,,,,,,,,,,,,,,
23183931,residential,Νικηταρά,yes,,,,,,,,,,,,,,
23183936,pedestrian,Κατακουζηνού,,,,,,,,,,,,,,,
23183939,residential,Φειδίου,yes,,,,,,,,,,,,,,
23183940,residential,Γεωργίου Γενναδίου,yes,,,,,,,,,,,,,,
23183949,residential,Ζωοδόχου Πηγής,yes,,,,,,,,,,,,,,
23183960,residential,Αναγνωστοπούλου,yes,,,,,,,,,,,,,,
23183961,residential,Γλύκωνος,yes,,,,,,,,,,,,,,
23183966,pedestrian,Τσακάλοφ,,,,,,,,,,,,,,,
23183967,service,Ακαδημίας,yes,,,,,,,,,,,,,,
23183970,tertiary,Δραγατσανίου,yes,,2,,,,,,,,,,,,
23183977,residential,,yes,,,,,,,,,,,,,,
23183981,residential,Καρύτση,yes,,,,,,,,,,,,,,
23183991,residential,Παπαρηγοπούλου,yes,,,,,,,,,,,,,,
23183996,pedestrian,ΑΘΑΝΑΣΙΟΥ ΑΞΑΡΛΙΑΝ,,yes,,,,,,,,,,,,,
23184016,residential,Παπαρηγοπούλου,yes,,,,,,,,,,,,,,
23184048,residential,Θησέως,,,,,,,,,,,,,,,
23184058,residential,Φλέσσα,,,,,,,,,,,,,,,
23184060,residential,Σκούφου,yes,,,,,,,,,,,,,,
23184093,residential,Πλούταρχου,,,,,,,,,,,,,,,
23184102,residential,Καρνεάδου,yes,,,,,,,,,,,,,,
23184105,residential,Καραολή & Δημητρίου,,,,,,,,,,,,,,,
23184108,residential,Αλωπεκής,yes,,,,,,,,,,,,,,
23184111,residential,Υψηλάντου,yes,,,,,,,,,,,,,,
23184115,residential,Γενναδίου Ιωάννη,,,,,,,,,,,,,,,
23184125,residential,Μονής Πετράκη,,,,,,,,,,,,,,,
23184127,tertiary,Ευζώνων,yes,,,,,,,,,,,,,,
23184128,tertiary,Αναπήρων Πολέμου,,,,,,,,,,,,,,,
23184133,residential,Σουηδίας,,,,,,,,,,,,,,,
23184137,pedestrian,Μαρασλή,,,,,,,,,,,,,,,
23184141,residential,,,,,,,,,,,,,,,,
23184144,residential,Μπενση Β.,,,,,,,,,,,,,,,
23184148,residential,Ιασίου,yes,,,,,,,,,,,,,,
23184151,tertiary,Πατριάρχου Ιωακείμ,,,,,,,,,,,,,,,
23184166,residential,Καψάλη,yes,,,,,,,,,,,,,,
23184174,residential,Νεοφύτου Δούκα,,,,,,,,,,,,,,,
23184181,tertiary,Κουμπάρη,yes,,,,,,,,,,,,,,
23184187,residential,Ηράκλειτου,yes,,,,,,,,,,,,,,
23184195,residential,Γλύκωνος,,,,,,,,,,,,,,,
23184197,residential,Χάρητος,,,,,,,,,,,,,,,
23184198,residential,Ξενοκράτους,,,,,,,,,,,,,,,
23184213,residential,Παλιγγενεσίας,,,,,,,,,,,,,,,
23184216,residential,Ανδρέα Μεταξά,yes,,,,,,,,,,,,,,
23184225,residential,Ερεσού,yes,,,,,,,,,,,,,,
23184258,pedestrian,Κάνιγγος,,,,,,,,,,,,,,,
23184312,tertiary,Μουστοξύδη,yes,yes,,,,,,,,,,,,,
23184319,tertiary,Μουστοξύδη,yes,yes,,,,,,,,,,,,,
23184325,tertiary,Μουστοξύδη,yes,yes,,,,,,,,,,,,,
23184331,tertiary,Μουστοξύδη,yes,yes,,,,,,,,,,,,,
23184332,tertiary,Μουστοξύδη,yes,24/7,,,,,,,,yes,,,,,
23184333,tertiary,Μουστοξύδη,yes,24/7,,,,,,,,yes,,,,,
23184372,secondary,Αγίου Μελετίου,yes,,,30,,,,,,,,,,,
23184413,tertiary,Αδμήτου,yes,,,,,,,,,,,,,,
23184427,tertiary,Κεφαλληνίας,yes,,,,,,,,,,,,,,
23184448,tertiary,Κοδριγκτώνος,yes,,,,,,,,,,,,,,
23184527,secondary_link,,yes,yes,,,,,,,,,,,,,
23184529,motorway_link,,yes,yes,,,,,,,,,yes,,,,
23184536,motorway_link,,yes,yes,,,,,,,,,,,,,
23184538,secondary_link,,yes,yes,,,,,,,,,,,,,
23184542,motorway_link,,yes,yes,,,,,,,,,,,,,
23184548,motorway_link,,yes,yes,,,,,,,,,,,,,
23184568,footway,,,,,,,,,,,,yes,,,,
23184582,footway,,,,,,,,,,,,yes,,,,
23184593,motorway_link,,yes,yes,,,,,,,,,,,,,
23184597,secondary,Λένορμαν,yes,yes,,,,,,,,,,,,lane,
23184599,secondary,Παράπλευρη Οδός,yes,yes,3,50,,,,,,,,,,,
23184603,motorway_link,,yes,yes,1,,,,,,,,,,,,
23184604,motorway_link,,yes,yes,2,,,,,,,,,,,,
23184607,trunk_link,,yes,yes,2,,,,,,,,,,,,
23184637,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,4,,,,,,,,,,,,
23184691,primary,Αγίου Κωνσταντίνου,yes,yes,,50,,,,,,,,,,,
23184703,trunk,Αθηνών,yes,yes,,,,,,,,,yes,,,,
23184736,trunk,Αθηνών,yes,yes,2,50,,,,,,,,,,,
23184740,trunk,Αθηνών,yes,yes,2,50,,,,,,,,,,,
23184741,trunk,Αθηνών,yes,yes,2,50,,,,,,,,,,,
23184751,trunk,Αθηνών,yes,yes,2,50,,,,,,yes,,,,,
23184754,trunk,Αθηνών,yes,yes,2,50,,,,,,,,,,,
23184757,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,3,,,,,,,,yes,,,,
23184760,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,3,,,,,,,,yes,,,,
23184772,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,,,,,,,,,yes,,,,
23184774,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,,,,,,,,,yes,,,,
23184776,motorway,Αυτοκινητόδρομος 1 (Αθήνα - Θεσσαλονίκη - Εύζωνοι),yes,yes,,,,,,,,,,,,,
23184823,secondary,Λεωφόρος Κωνσταντινουπόλεως,yes,yes,,,,,,,,,,,,,
23184824,primary,Κωνσταντινουπόλεως,yes,yes,2,50,,,,,,yes,,,,,
23184834,primary,Λαγουμιτζή,yes,,3,,,,,,,,,,,,
23184835,primary,Κωνσταντινουπόλεως,yes,,,,,,,,,,,,,,
23184837,primary,Κωνσταντινουπόλεως,yes,yes,2,50,,,,,,yes,,,,,
23184908,primary,Πέτρου Ράλλη,yes,,,,,,,,,,,,,,
23184912,primary,Πέτρου Ράλλη,yes,,,,,,,,,,yes,,,,
23184913,primary,Πέτρου Ράλλη,yes,,,,,,,,,,,,,,
23184916,primary,Πέτρου Ράλλη,yes,,,,,,,,,,yes,,,,
23184933,primary_link,,yes,,,,,,,,,,,,,,
23184937,tertiary,Παράπλευρη Οδός,yes,,2,,,,,,,,,,,,
23184940,residential,,,,,,,,,,,,,,,,
